郵便番号,住所,建物,種類
7600005,香川県 高松市 宮脇町１ - ２３ - ３１,Ｍ’ｓ悠,マンションV16
7600005,香川県 高松市 宮脇町１ - ８番地５号,ホワイトヒルズ,マンションG16
7600005,香川県 高松市 宮脇町２ - １４ - ２２,宮脇第８マンション,マンションV16
7600005,香川県 高松市 宮脇町２ - ２２ - ６,シャンボール瀬戸,マンションV16
7600005,香川県 高松市 宮脇町２ - ２５ - ２１,メゾン宮脇町,マンションV16
7610122,該当なし
7610123,該当なし
7610121,該当なし
7618062,香川県 高松市 室新町１０１９ - ５,メゾンド栗林公園,マンションV16
7618061,該当なし
7600092,該当なし
7610311,該当なし
7600049,該当なし
7610112,香川県 高松市 屋島中町３８３ - ３,アルファステイツ屋島,マンションV16
7610112,香川県 高松市 屋島中町４４０ - １,ハイム屋島,マンションV16
7610112,香川県 高松市 屋島中町４４５,アルファステイツ屋島中町,マンションV16
7610111,該当なし
7610113,香川県 高松市 屋島西町６７８ - ７０,アルファシティ屋島 四番館,マンションV16
7610113,香川県 高松市 屋島西町６７８ - ８０,アルファシティ屋島 壱番館,マンションG16
7610113,香川県 高松市 屋島西町６７８ - ８３,アルファシティ屋島 弐番館,マンションG16
7610113,香川県 高松市 屋島西町１４０３,国家公務員屋島住宅 １号棟,マンションV16
7610113,香川県 高松市 屋島西町１４０３,国家公務員屋島住宅 １０号棟,マンションV16
7610113,香川県 高松市 屋島西町１４１２ - ２,国家公務員屋島住宅 １７号棟,マンションV16
7610113,香川県 高松市 屋島西町１６５８,屋島ロイヤルハイツ,マンションV16
7610113,香川県 高松市 屋島西町１６８１ - １,パークハイムカタモト,マンションV16
7610113,香川県 高松市 屋島西町１８２７ - １,アートヒル屋島,マンションV16
7610113,香川県 高松市 屋島西町１９２１ - １,ハイマート屋島,マンションV16
7610113,香川県 高松市 屋島西町１９５３ - １,サンハイツ屋島,マンションV16
7610113,香川県 高松市 屋島西町１９７１ - ２,アメニティ屋島,マンションG16
7610113,香川県 高松市 屋島西町２０７４ - ７,国家公務員屋島住宅 １１号棟,マンションV16
7610113,香川県 高松市 屋島西町２０７４ - ７,国家公務員屋島住宅 １４号棟,マンションV16
7610113,香川県 高松市 屋島西町２０７６ - １,国家公務員屋島住宅 １２号棟,マンションV16
7610113,香川県 高松市 屋島西町２０７６ - １,国家公務員屋島住宅 １５号棟,マンションG16
7610113,香川県 高松市 屋島西町２０７６ - １,国家公務員屋島住宅 ９号棟,マンションG16
7610113,香川県 高松市 屋島西町２１０５ - ２３,アルファパーク屋島 弐番館,マンションV16
7610113,香川県 高松市 屋島西町２１０５ - ２４,アルファパーク屋島 参番館,マンションV16
7610113,香川県 高松市 屋島西町２１０５ - ２５,アルファパーク屋島 四番館,マンションV16
7610113,香川県 高松市 屋島西町２１０７ - ４１,アルファパーク屋島 壱番館,マンションV16
7610113,香川県 高松市 屋島西町２１０９ - ２６,ストーンレイク子の浜 Ｂ棟,マンションV16
7610113,香川県 高松市 屋島西町２１０９ - ２６,ストーンレイク子の浜 Ｃ棟,マンションV16
7610113,香川県 高松市 屋島西町２２７４ - １５,アルファシティ屋島 参番館,マンションG16
7610113,香川県 高松市 屋島西町２２７４ - １９,アルファシティ屋島 五番館,マンションV16
7610113,香川県 高松市 屋島西町２２７４ - ２０,アルファシティ屋島 六番館,マンションG16
7610113,香川県 高松市 屋島西町２２９３ - ３,清園,マンションV16
7610113,香川県 高松市 屋島西町２３０１ - ４,スカール屋島,マンションG16
7610113,香川県 高松市 屋島西町２３０９ - ５,ダイアパレス屋島第３,マンションG16
7610113,香川県 高松市 屋島西町２３２５ - １７,ビューフォート屋島,マンションV16
7610113,香川県 高松市 屋島西町２４４４ - ９,ダイアパレス屋島第２,マンションV16
7610113,香川県 高松市 屋島西町２４４５ - ９,屋島パークハイツ,マンションV16
7610113,香川県 高松市 屋島西町２４５３ - ３０,アルファステイツ屋島西町,マンションV16
